timestamp,PM2.5 (ug/m3),CO2 (ppm),Temp (C),Humidity (%),TVOC (mg/m3),Pressure (Pa),source
10/07/2025, 17:58:27,10.00,90,11.00,46.08,0.926,1.76,real
10/07/2025, 17:58:27,10.00,90,11.00,46.35,0.927,1.76,real
10/07/2025, 17:58:27,10.00,90,11.00,46.48,0.928,1.81,real
10/07/2025, 17:59:59,65.00,580,71.00,48.67,0.931,1.85,real
10/07/2025, 17:59:59,53.00,470,58.00,48.63,0.931,1.90,real
10/07/2025, 17:59:59,44.00,390,48.00,48.60,0.930,1.92,real
10/07/2025, 17:59:59,37.00,330,41.00,48.58,0.930,1.95,real
10/07/2025, 17:59:59,28.00,260,31.00,48.54,0.929,1.96,real
10/07/2025, 17:59:59,25.00,230,27.00,48.47,0.929,2.00,real
10/07/2025, 17:59:59,22.00,200,24.00,48.43,0.928,2.01,real
10/07/2025, 17:59:59,19.00,170,21.00,48.39,0.927,2.01,real
10/07/2025, 17:59:59,16.00,140,17.00,48.35,0.926,2.02,real
10/07/2025, 17:59:59,15.00,130,16.00,48.24,0.925,2.03,real
10/07/2025, 17:59:59,14.00,120,15.00,48.18,0.924,2.07,real
10/07/2025, 17:59:59,13.00,110,14.00,48.11,0.921,2.05,real
10/07/2025, 17:59:59,12.00,100,13.00,48.05,0.920,2.04,real
10/07/2025, 17:59:59,12.00,100,13.00,47.88,0.918,2.00,real
10/07/2025, 17:59:59,11.00,90,12.00,47.79,0.917,1.96,real
10/07/2025, 17:59:59,11.00,90,12.00,47.69,0.914,1.94,real
10/07/2025, 17:59:59,12.00,100,13.00,47.58,0.912,1.90,real
10/07/2025, 17:59:59,12.00,100,13.00,47.35,0.911,1.85,real
10/07/2025, 17:59:59,12.00,100,13.00,47.24,0.910,1.81,real
10/07/2025, 17:59:59,12.00,100,13.00,47.14,0.907,1.78,real
10/07/2025, 17:59:59,12.00,100,13.00,47.05,0.906,1.77,real
10/07/2025, 17:59:59,12.00,100,13.00,46.87,0.905,1.77,real
10/07/2025, 17:59:59,12.00,100,13.00,46.79,0.904,1.72,real
10/07/2025, 17:59:59,12.00,100,13.00,46.70,0.901,1.69,real
10/07/2025, 17:59:59,12.00,100,13.00,46.60,0.900,1.67,real
10/07/2025, 17:59:59,12.00,100,13.00,46.39,0.899,1.66,real
10/07/2025, 17:59:59,11.00,90,12.00,46.30,0.898,1.63,real
10/07/2025, 17:59:59,11.00,90,12.00,46.17,0.896,1.62,real
10/07/2025, 17:59:59,11.00,90,12.00,46.02,0.895,1.57,real
10/07/2025, 17:59:59,11.00,90,12.00,45.76,0.894,1.55,real
10/07/2025, 17:59:59,11.00,90,12.00,45.65,0.893,1.51,real
10/07/2025, 17:59:59,11.00,90,12.00,45.56,0.891,1.49,real
10/07/2025, 17:59:59,11.00,90,12.00,45.50,0.891,1.44,real
10/07/2025, 17:59:59,11.00,90,12.00,45.45,0.890,1.40,real
10/07/2025, 17:59:59,11.00,90,12.00,45.44,0.890,1.38,real
10/07/2025, 17:59:59,11.00,90,12.00,45.48,0.890,1.35,real
10/07/2025, 17:59:59,10.00,80,11.00,45.58,0.891,1.38,real
10/07/2025, 17:59:59,10.00,90,11.00,45.72,0.891,1.42,real
10/07/2025, 17:59:59,10.00,90,11.00,45.69,0.892,1.40,real
10/07/2025, 17:59:59,10.00,90,11.00,45.62,0.896,1.37,real
10/07/2025, 17:59:59,10.00,90,11.00,45.50,0.898,1.36,real
10/07/2025, 17:59:59,10.00,90,11.00,45.18,0.901,1.38,real
10/07/2025, 17:59:59,10.00,90,11.00,45.01,0.905,1.40,real
10/07/2025, 17:59:59,11.00,90,12.00,44.85,0.913,1.40,real
10/07/2025, 17:59:59,11.00,90,12.00,44.73,0.918,1.40,real
10/07/2025, 17:59:59,11.00,90,12.00,44.51,0.923,1.38,real
10/07/2025, 17:59:59,11.00,90,12.00,44.39,0.928,1.36,real
10/07/2025, 17:59:59,11.00,90,12.00,44.28,0.938,1.33,real
10/07/2025, 17:59:59,11.00,90,12.00,44.18,0.942,1.29,real
10/07/2025, 17:59:59,11.00,90,12.00,44.04,0.946,1.25,real
10/07/2025, 17:59:59,11.00,90,12.00,43.98,0.950,1.25,real
10/07/2025, 17:59:59,11.00,90,12.00,43.92,0.955,1.25,real
10/07/2025, 17:59:59,19.00,170,21.00,43.85,0.956,1.23,real
10/07/2025, 17:59:59,24.00,220,26.00,43.73,0.958,1.21,real
10/07/2025, 17:59:59,26.00,240,29.00,43.65,0.958,1.18,real
10/07/2025, 17:59:59,24.00,220,27.00,43.54,0.959,1.13,real
10/07/2025, 17:59:59,22.00,200,24.00,43.43,0.959,1.09,real
10/07/2025, 17:59:59,21.00,190,23.00,43.32,0.959,1.07,real
10/07/2025, 17:59:59,20.00,180,22.00,43.12,0.958,1.03,real
